geoid,geoid20,year,denom_known_poverty_1,housing_stability_count,housing_stability_pct
1400000US06037181300,6037181300,2021,3797,3369,88.727943
1400000US06037181400,6037181400,2021,4538,4113,90.634644
1400000US06037181500,6037181500,2021,3961,3683,92.981567
1400000US06037181600,6037181600,2021,2874,2502,87.056366
1400000US06037183101,6037183101,2021,2424,2127,87.747528
1400000US06037183103,6037183103,2021,4711,4422,93.865425
1400000US06037183104,6037183104,2021,1880,1784,94.893616
1400000US06037183220,6037183220,2021,3239,2987,92.219818
1400000US06037183221,6037183221,2021,3447,3052,88.540764
1400000US06037183222,6037183222,2021,3531,3225,91.3339
1400000US06037183300,6037183300,2021,3465,3271,94.401154
1400000US06037183401,6037183401,2021,2396,2192,91.485809
1400000US06037183402,6037183402,2021,2734,2374,86.832481
1400000US06037183510,6037183510,2021,2479,2264,91.327148
1400000US06037183520,6037183520,2021,3830,3588,93.681465
1400000US06037183610,6037183610,2021,2809,2336,83.16127
1400000US06037183620,6037183620,2021,2963,2805,94.667564
1400000US06037183701,6037183701,2021,3312,2914,87.983093
1400000US06037183702,6037183702,2021,2888,2370,82.063713
1400000US06037183810,6037183810,2021,4322,3899,90.212868
1400000US06037183820,6037183820,2021,3277,2804,85.566063
1400000US06037185101,6037185101,2021,2856,2517,88.130249
1400000US06037185102,6037185102,2021,3213,2663,82.882042
1400000US06037185202,6037185202,2021,4070,3775,92.751846
1400000US06037185203,6037185203,2021,2708,2402,88.70015
1400000US06037185204,6037185204,2021,1878,1749,93.130989
1400000US06037185310,6037185310,2021,3023,2868,94.872643
1400000US06037185320,6037185320,2021,2808,2656,94.586891
1400000US06037186100,6037186100,2021,4816,4393,91.216774
1400000US06037186201,6037186201,2021,3434,3244,94.467094
1400000US06037186202,6037186202,2021,1739,1254,72.110405
1400000US06037186203,6037186203,2021,3089,2820,91.291679
1400000US06037186301,6037186301,2021,2651,2467,93.059219
1400000US06037186302,6037186302,2021,5058,4554,90.035583
1400000US06037186401,6037186401,2021,3001,2757,91.869377
1400000US06037186403,6037186403,2021,2632,2466,93.693008
1400000US06037186404,6037186404,2021,2775,2545,91.711708
1400000US06037187101,6037187101,2021,2917,2447,83.887558
1400000US06037187102,6037187102,2021,4538,4302,94.799469
1400000US06037187200,6037187200,2021,2802,2525,90.114204
1400000US06037187300,6037187300,2021,3644,2973,81.586166
1400000US06037188100,6037188100,2021,3791,3299,87.021896
1400000US06037188201,6037188201,2021,3052,2273,74.475754
1400000US06037188202,6037188202,2021,2796,2313,82.725319
1400000US06037188300,6037188300,2021,3702,3171,85.656403
1400000US06037189101,6037189101,2021,2355,1841,78.174095
1400000US06037189102,6037189102,2021,3873,3215,83.01059
1400000US06037189201,6037189201,2021,2957,2405,81.332428
1400000US06037189202,6037189202,2021,2790,2540,91.039429
1400000US06037189300,6037189300,2021,2753,2621,95.205231
1400000US06037189400,6037189400,2021,3122,2781,89.077515
1400000US06037189501,6037189501,2021,2280,1682,73.771927
1400000US06037189502,6037189502,2021,1948,1709,87.731003
1400000US06037189600,6037189600,2021,3731,3437,92.120071
1400000US06037189702,6037189702,2021,2112,1772,83.901512
1400000US06037189703,6037189703,2021,1824,1481,81.195175
1400000US06037189704,6037189704,2021,1257,1097,87.271278
1400000US06037189801,6037189801,2021,1766,1450,82.106453
